AÑO;NUI;Región;Trimestre;Mes;Categoría;Función;Género;Ocupados;CLASE_INDUSTRIA_II;EXPLICACIÓN_CLASE_INDUSTRIA
2007;21714;1;1;enero;CONTRATO;Directivos;hombres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Directivos;mujeres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Productivos_directos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Productivos_directos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;4;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Administrativos;hombres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Administrativos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Flota;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;CONTRATO;Flota;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Administrativos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Administrativos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Flota;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;enero;SUBCONTRATO;Flota;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Directivos;hombres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Directivos;mujeres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Productivos_directos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Productivos_directos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Productivos_indirectos;mujeres;4;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Administrativos;hombres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Administrativos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Flota;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;CONTRATO;Flota;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Productivos_directos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Productivos_indirectos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Administrativos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Administrativos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Flota;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;febrero;SUBCONTRATO;Flota;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Directivos;hombres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Directivos;mujeres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Productivos_directos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Productivos_directos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Productivos_indirectos;mujeres;4;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Administrativos;hombres;1;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Administrativos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Flota;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;CONTRATO;Flota;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;SUBCONTRATO;Productivos_directos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;SUBCONTRATO;Productivos_indirectos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;SUBCONTRATO;Administrativos;hombres;0;HUMANO;SIN_ABASTECIMIENTO
2007;21714;1;1;marzo;SUBCONTRATO;Administrativos;mujeres;0;HUMANO;SIN_ABASTECIMIENTO
